ID,Genotype,Sex,Minimum Age,Maximum Age,Food 1,Food 2,Temperature,#Flies
1,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
2,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
3,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
4,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
5,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
6,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
7,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
8,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
9,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
10,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
11,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
12,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
13,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
14,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
15,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
16,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
17,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
18,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
19,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
20,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
21,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
22,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
23,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
24,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
25,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
26,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
27,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
28,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
29,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
30,w1118,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29,N/A
