ID,Genotype,Sex,Minimum Age,Maximum Age,Food 1,Food 2,Temperature
1,W1118;MB213B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
2,W1118;MB213B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
3,W1118;MB213B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
4,W1118;MB213B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
5,W1118;MB213B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
6,W1118;MB213B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
7,W1118;MB213B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
8,W1118;MB213B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
9,W1118;MB213B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
10,W1118;MB213B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
11,MB213B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
12,MB213B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
13,MB213B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
14,MB213B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
15,MB213B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
16,MB213B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
17,MB213B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
18,MB213B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
19,MB213B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
20,MB213B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
21,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
22,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
23,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
24,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
25,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
26,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
27,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
28,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
29,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
30,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,22
