Minutes,#Feeds_FeedPortLeft001,#Feeds_FeedPortRight001,#Feeds_FeedPortLeft002,#Feeds_FeedPortRight002,#Feeds_FeedPortLeft003,#Feeds_FeedPortRight003,#Feeds_FeedPortLeft004,#Feeds_FeedPortRight004,#Feeds_FeedPortLeft005,#Feeds_FeedPortRight005,#Feeds_FeedPortLeft006,#Feeds_FeedPortRight006,#Feeds_FeedPortLeft007,#Feeds_FeedPortRight007,#Feeds_FeedPortLeft008,#Feeds_FeedPortRight008,#Feeds_FeedPortLeft009,#Feeds_FeedPortRight009,#Feeds_FeedPortLeft010,#Feeds_FeedPortRight010,#Feeds_FeedPortLeft011,#Feeds_FeedPortRight011,#Feeds_FeedPortLeft012,#Feeds_FeedPortRight012,#Feeds_FeedPortLeft013,#Feeds_FeedPortRight013,#Feeds_FeedPortLeft014,#Feeds_FeedPortRight014,#Feeds_FeedPortLeft015,#Feeds_FeedPortRight015,#Feeds_FeedPortLeft016,#Feeds_FeedPortRight016,#Feeds_FeedPortLeft017,#Feeds_FeedPortRight017,#Feeds_FeedPortLeft018,#Feeds_FeedPortRight018,#Feeds_FeedPortLeft019,#Feeds_FeedPortRight019,#Feeds_FeedPortLeft020,#Feeds_FeedPortRight020,#Feeds_FeedPortLeft021,#Feeds_FeedPortRight021,#Feeds_FeedPortLeft022,#Feeds_FeedPortRight022,#Feeds_FeedPortLeft023,#Feeds_FeedPortRight023,#Feeds_FeedPortLeft024,#Feeds_FeedPortRight024,#Feeds_FeedPortLeft025,#Feeds_FeedPortRight025,#Feeds_FeedPortLeft026,#Feeds_FeedPortRight026,#Feeds_FeedPortLeft027,#Feeds_FeedPortRight027,#Feeds_FeedPortLeft028,#Feeds_FeedPortRight028,#Feeds_FeedPortLeft029,#Feeds_FeedPortRight029,#Feeds_FeedPortLeft030,#Feeds_FeedPortRight030,#Feeds_Total,FeedVol_FeedPortLeft001,FeedVol_FeedPortRight001,FeedVol_FeedPortLeft002,FeedVol_FeedPortRight002,FeedVol_FeedPortLeft003,FeedVol_FeedPortRight003,FeedVol_FeedPortLeft004,FeedVol_FeedPortRight004,FeedVol_FeedPortLeft005,FeedVol_FeedPortRight005,FeedVol_FeedPortLeft006,FeedVol_FeedPortRight006,FeedVol_FeedPortLeft007,FeedVol_FeedPortRight007,FeedVol_FeedPortLeft008,FeedVol_FeedPortRight008,FeedVol_FeedPortLeft009,FeedVol_FeedPortRight009,FeedVol_FeedPortLeft010,FeedVol_FeedPortRight010,FeedVol_FeedPortLeft011,FeedVol_FeedPortRight011,FeedVol_FeedPortLeft012,FeedVol_FeedPortRight012,FeedVol_FeedPortLeft013,FeedVol_FeedPortRight013,FeedVol_FeedPortLeft014,FeedVol_FeedPortRight014,FeedVol_FeedPortLeft015,FeedVol_FeedPortRight015,FeedVol_FeedPortLeft016,FeedVol_FeedPortRight016,FeedVol_FeedPortLeft017,FeedVol_FeedPortRight017,FeedVol_FeedPortLeft018,FeedVol_FeedPortRight018,FeedVol_FeedPortLeft019,FeedVol_FeedPortRight019,FeedVol_FeedPortLeft020,FeedVol_FeedPortRight020,FeedVol_FeedPortLeft021,FeedVol_FeedPortRight021,FeedVol_FeedPortLeft022,FeedVol_FeedPortRight022,FeedVol_FeedPortLeft023,FeedVol_FeedPortRight023,FeedVol_FeedPortLeft024,FeedVol_FeedPortRight024,FeedVol_FeedPortLeft025,FeedVol_FeedPortRight025,FeedVol_FeedPortLeft026,FeedVol_FeedPortRight026,FeedVol_FeedPortLeft027,FeedVol_FeedPortRight027,FeedVol_FeedPortLeft028,FeedVol_FeedPortRight028,FeedVol_FeedPortLeft029,FeedVol_FeedPortRight029,FeedVol_FeedPortLeft030,FeedVol_FeedPortRight030,FeedVol_Total
1.00,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0.0000,0.0000,0.0000,0.1128,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0710,0.0973,0.1048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4491
2.00,0,0,0,5,0,0,0,3,0,0,3,0,0,0,3,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,27,0.0000,0.0000,0.0000,0.2079,0.0000,0.0000,0.0000,0.3899,0.0000,0.0000,0.1946,0.0000,0.0000,0.0000,0.2493,0.0000,0.0000,0.0000,0.2090,0.0114,0.0000,0.0000,0.0221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1252,0.0000,0.0000,0.2731,0.0000,0.0000,0.0000,0.0202,0.0000,0.2678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1191
3.00,0,1,0,0,0,0,0,0,1,0,3,0,0,0,2,1,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0.0000,0.2031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0174,0.0000,0.1139,0.0000,0.0000,0.0000,0.1891,0.0126,0.0000,0.0290,0.0013,0.0000,0.0000,0.0000,0.0091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6598
4.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,0,2,0,0,0,0,1,0,0,0,2,1,0,19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0023,0.0000,0.0000,0.0000,0.0000,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1912,0.0000,0.0583,0.0065,0.0000,0.1289,0.0000,0.0000,0.0000,0.0000,0.0024,0.0000,0.0000,0.0000,0.2219,0.0478,0.0000,0.6972
5.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,17,0.0000,0.2692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0029,0.3200,0.0444,0.0000,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.1960,0.9383
6.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,2,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0000,0.0000,0.1478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1106,0.0000,0.0000,0.0000,0.0000,0.0767,0.0000,0.0000,0.0000,0.0582,0.0000,0.0841,0.0000,0.0069,0.0000,0.0549,0.0000,0.0000,0.0000,0.0000,0.1874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2184,0.9539
7.00,0,2,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,7,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,3,27,0.0000,0.0191,0.0249,0.0000,0.0000,0.0000,0.0000,0.0012,0.0181,0.0000,0.0000,0.0000,0.0697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0648,0.0000,0.1738,0.0000,0.0000,0.0000,0.1559,0.0000,0.0000,0.0000,0.0000,0.0000,0.0488,0.0464,0.0000,0.0000,0.0000,0.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0226,0.8051
8.00,0,0,1,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,4,0,0,0,0,0,7,0,4,1,0,3,1,0,0,4,0,2,0,0,0,0,0,0,0,0,2,45,0.0000,0.0000,0.0021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.0000,0.0000,0.0000,0.0643,0.2116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1227,0.0000,0.0000,0.2815,0.0000,0.0000,0.0518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0249,0.0000,0.0451,0.2918,0.0000,0.0130,0.0076,0.0000,0.0000,0.0085,0.0000,0.1169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0139,1.2568
9.00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,14,0.0000,0.0270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0407,0.0000,0.0000,0.0000,0.0023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0368,0.0000,0.0000,0.0000,0.0112,0.0000,0.0000,0.0000,0.0000,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.2007
10.00,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.1817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0229,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0023,0.0000,0.0000,0.0000,0.2098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.8251
