ID,Genotype,Sex,Minimum Age,Maximum Age,Food 1,Food 2,Temperature,#Flies
1,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
2,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
3,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
4,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
5,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
6,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
7,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
8,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
9,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
10,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
11,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
12,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
13,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
14,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
15,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
16,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
17,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
18,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
19,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
20,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
21,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
22,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
23,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
24,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
25,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
26,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
27,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
28,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
29,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
30,W1118,M,5,7,5%S+5%YE,N/A,22,N/A
