StartTime,StartFrame,FeedTubeIdx,FlyID,ChoiceIdx,AviFile,FeedVol_µl,FeedDuration_ms,Evap-mm3/s,Valid,RelativeTime_s,ExperimentState,Genotype,Sex,Minimum Age,Maximum Age,Tube1,Tube2,Temperature,#Flies,starved_time,FeedVol_nl,FeedSpeed_nl/s,feed_time_s,feed_duration_s
,,0,0-Hrs_Fly1,0,NIL,,,,False,1970-01-01 00:00:00.500,PAD,w1118,M,5,7,5% sucrose + 5% yeast extract,,25,,0-Hrs,,,0.5,
09:15.7,2514979.0,0,0-Hrs_Fly1,0,FeedEvent_0_2017-08-21_10-09-15.691.avi,0.067065,4454.0,0.001145,True,1970-01-01 00:02:07.418,Started,w1118,M,5,7,5% sucrose + 5% yeast extract,,25,,0-Hrs,67.065,15.057251908396948,127.41799999999999,4.454
34:39.1,2560809.0,0,0-Hrs_Fly1,0,FeedEvent_0_2017-08-21_10-34-39.058.avi,0.134824,7646.0,0.0,True,1970-01-01 00:27:30.785,Started,w1118,M,5,7,5% sucrose + 5% yeast extract,,25,,0-Hrs,134.824,17.633272299241437,1650.785,7.646
46:21.7,2581947.0,0,0-Hrs_Fly1,0,FeedEvent_0_2017-08-21_10-46-21.675.avi,0.020118,2626.0,0.0,True,1970-01-01 00:39:13.402,Started,w1118,M,5,7,5% sucrose + 5% yeast extract,,25,,0-Hrs,20.118000000000002,7.661081492764662,2353.402,2.626
47:17.1,2583614.0,0,0-Hrs_Fly1,0,FeedEvent_0_2017-08-21_10-47-17.086.avi,0.027904,6215.0,0.0,True,1970-01-01 00:40:08.813,Started,w1118,M,5,7,5% sucrose + 5% yeast extract,,25,,0-Hrs,27.904000000000003,4.489782783588094,2408.813,6.215
52:28.7,2592990.0,0,0-Hrs_Fly1,0,FeedEvent_0_2017-08-21_10-52-28.740.avi,0.003071,6082.0,0.0,True,1970-01-01 00:45:20.467,Started,w1118,M,5,7,5% sucrose + 5% yeast extract,,25,,0-Hrs,3.0709999999999997,0.5049325879644854,2720.467,6.082
52:48.6,2593588.0,0,0-Hrs_Fly1,0,FeedEvent_0_2017-08-21_10-52-48.617.avi,0.003057,8276.0,0.0,True,1970-01-01 00:45:40.344,Started,w1118,M,5,7,5% sucrose + 5% yeast extract,,25,,0-Hrs,3.057,0.3693813436442726,2740.344,8.276
56:00.9,2599374.0,0,0-Hrs_Fly1,0,FeedEvent_0_2017-08-21_10-56-00.941.avi,0.001328,13129.0,0.0,True,1970-01-01 00:48:52.668,Started,w1118,M,5,7,5% sucrose + 5% yeast extract,,25,,0-Hrs,1.328,0.10115012567598447,2932.6679999999997,13.129
57:19.7,2601742.0,0,0-Hrs_Fly1,0,FeedEvent_0_2017-08-21_10-57-19.652.avi,0.005084,11634.0,0.00028399999999999996,True,1970-01-01 00:50:11.379,Started,w1118,M,5,7,5% sucrose + 5% yeast extract,,25,,0-Hrs,5.084,0.4369950146123431,3011.3790000000004,11.634
02:26.3,2610966.0,0,0-Hrs_Fly1,0,FeedEvent_0_2017-08-21_11-02-26.254.avi,0.016865,9306.0,0.0,True,1970-01-01 00:55:17.981,Started,w1118,M,5,7,5% sucrose + 5% yeast extract,,25,,0-Hrs,16.865000000000002,1.812271652697185,3317.9809999999998,9.306
