FlyID,starved_time,fed_during_assay
0-Hrs_Fly1,0-Hrs,Yes
0-Hrs_Fly2,0-Hrs,Yes
0-Hrs_Fly3,0-Hrs,No
0-Hrs_Fly4,0-Hrs,No
0-Hrs_Fly5,0-Hrs,No
0-Hrs_Fly6,0-Hrs,Yes
0-Hrs_Fly7,0-Hrs,No
0-Hrs_Fly8,0-Hrs,No
0-Hrs_Fly9,0-Hrs,No
0-Hrs_Fly10,0-Hrs,No
0-Hrs_Fly11,0-Hrs,No
0-Hrs_Fly12,0-Hrs,No
0-Hrs_Fly13,0-Hrs,Yes
0-Hrs_Fly14,0-Hrs,Yes
0-Hrs_Fly15,0-Hrs,No
0-Hrs_Fly16,0-Hrs,No
0-Hrs_Fly17,0-Hrs,No
0-Hrs_Fly18,0-Hrs,No
0-Hrs_Fly19,0-Hrs,No
0-Hrs_Fly20,0-Hrs,No
0-Hrs_Fly21,0-Hrs,No
0-Hrs_Fly22,0-Hrs,No
0-Hrs_Fly23,0-Hrs,No
0-Hrs_Fly24,0-Hrs,No
0-Hrs_Fly25,0-Hrs,No
0-Hrs_Fly26,0-Hrs,No
0-Hrs_Fly27,0-Hrs,No
0-Hrs_Fly28,0-Hrs,No
0-Hrs_Fly29,0-Hrs,No
0-Hrs_Fly30,0-Hrs,No
0-Hrs_Fly31,0-Hrs,No
0-Hrs_Fly32,0-Hrs,Yes
0-Hrs_Fly33,0-Hrs,Yes
0-Hrs_Fly34,0-Hrs,No
0-Hrs_Fly35,0-Hrs,No
0-Hrs_Fly36,0-Hrs,No
0-Hrs_Fly37,0-Hrs,No
0-Hrs_Fly38,0-Hrs,No
0-Hrs_Fly39,0-Hrs,No
0-Hrs_Fly40,0-Hrs,No
0-Hrs_Fly41,0-Hrs,Yes
0-Hrs_Fly42,0-Hrs,No
0-Hrs_Fly43,0-Hrs,No
0-Hrs_Fly44,0-Hrs,No
0-Hrs_Fly45,0-Hrs,Yes
0-Hrs_Fly46,0-Hrs,Yes
0-Hrs_Fly47,0-Hrs,Yes
0-Hrs_Fly48,0-Hrs,No
0-Hrs_Fly49,0-Hrs,Yes
0-Hrs_Fly50,0-Hrs,Yes
0-Hrs_Fly51,0-Hrs,Yes
