ID,Genotype,Sex,Minimum Age,Maximum Age,Food 1,Food 2,Temperature
1,W1118;MB312B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
2,W1118;MB312B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
3,W1118;MB312B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
4,W1118;MB312B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
5,W1118;MB312B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
6,W1118;MB312B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
7,W1118;MB312B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
8,W1118;MB312B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
9,W1118;MB312B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
10,W1118;MB312B-Gal4,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
11,MB312B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
12,MB312B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
13,MB312B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
14,MB312B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
15,MB312B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
16,MB312B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
17,MB312B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
18,MB312B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
19,MB312B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
20,MB312B-Gal4>UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
21,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
22,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
23,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
24,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
25,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
26,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
27,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
28,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
29,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
30,W1118;UAS-TrpA1,M,5,7,100mM_Sucrose,100mM_Sucrose_100mM_Arabinose,29
