StartTime,StartFrame,FeedTubeIdx,FlyID,ChoiceIdx,AviFile,Volume-mm3,Duration-ms,Evap-mm3/s,Valid,RelativeTime-s,ExperimentState
08/06/2017 13:24:26.299,89010,16,8,0,Null,0.002560,798,0.000500,TRUE,-0.001,Started
08/06/2017 13:24:27.130,89035,16,8,0,FeedEvent_16_2017-06-08_13-24-27.130.avi,0.001352,1264,0.000500,TRUE,0.830,Started
08/06/2017 13:24:26.299,89010,10,5,0,Null,0.001216,2593,0.000500,TRUE,-0.001,Started
08/06/2017 13:24:26.299,89010,34,17,0,Null,0.001150,4188,0.000500,TRUE,-0.001,Started
08/06/2017 13:24:28.261,89069,55,27,1,FeedEvent_55_2017-06-08_13-24-28.261.avi,0.003906,3857,0.000500,TRUE,1.960,Started
08/06/2017 13:24:26.299,89010,2,1,0,Null,0.023641,6715,0.000500,TRUE,-0.001,Started
08/06/2017 13:24:26.299,89010,33,16,1,Null,0.005722,7014,0.000500,TRUE,-0.001,Started
08/06/2017 13:24:26.299,89010,32,16,0,Null,0.032999,13861,0.000500,TRUE,-0.001,Started
08/06/2017 13:24:27.695,89052,5,2,1,FeedEvent_5_2017-06-08_13-24-27.695.avi,0.011012,12631,0.000500,TRUE,1.395,Started
08/06/2017 13:24:26.299,89010,15,7,1,Null,0.072839,14991,0.000500,TRUE,-0.001,Started
08/06/2017 13:24:33.347,89222,33,16,1,FeedEvent_33_2017-06-08_13-24-33.347.avi,0.011767,11599,0.000500,TRUE,7.047,Started
08/06/2017 13:24:28.427,89074,16,8,0,FeedEvent_16_2017-06-08_13-24-28.427.avi,0.027473,20243,0.000500,TRUE,2.126,Started
08/06/2017 13:24:26.798,89025,31,15,1,FeedEvent_31_2017-06-08_13-24-26.798.avi,0.043026,22203,0.000500,TRUE,0.498,Started
08/06/2017 13:24:26.299,89010,53,26,1,Null,0.076150,23301,0.000500,TRUE,-0.001,Started
08/06/2017 13:24:45.080,89575,55,27,1,FeedEvent_55_2017-06-08_13-24-45.080.avi,0.031261,11036,0.000500,TRUE,18.780,Started
