Minutes,#Feeds_FeedPortLeft001,#Feeds_FeedPortRight001,#Feeds_FeedPortLeft002,#Feeds_FeedPortRight002,#Feeds_FeedPortLeft003,#Feeds_FeedPortRight003,#Feeds_FeedPortLeft004,#Feeds_FeedPortRight004,#Feeds_FeedPortLeft005,#Feeds_FeedPortRight005,#Feeds_FeedPortLeft006,#Feeds_FeedPortRight006,#Feeds_FeedPortLeft007,#Feeds_FeedPortRight007,#Feeds_FeedPortLeft008,#Feeds_FeedPortRight008,#Feeds_FeedPortLeft009,#Feeds_FeedPortRight009,#Feeds_FeedPortLeft010,#Feeds_FeedPortRight010,#Feeds_FeedPortLeft011,#Feeds_FeedPortRight011,#Feeds_FeedPortLeft012,#Feeds_FeedPortRight012,#Feeds_FeedPortLeft013,#Feeds_FeedPortRight013,#Feeds_FeedPortLeft014,#Feeds_FeedPortRight014,#Feeds_FeedPortLeft015,#Feeds_FeedPortRight015,#Feeds_FeedPortLeft016,#Feeds_FeedPortRight016,#Feeds_FeedPortLeft017,#Feeds_FeedPortRight017,#Feeds_FeedPortLeft018,#Feeds_FeedPortRight018,#Feeds_FeedPortLeft019,#Feeds_FeedPortRight019,#Feeds_FeedPortLeft020,#Feeds_FeedPortRight020,#Feeds_FeedPortLeft021,#Feeds_FeedPortRight021,#Feeds_FeedPortLeft022,#Feeds_FeedPortRight022,#Feeds_FeedPortLeft023,#Feeds_FeedPortRight023,#Feeds_FeedPortLeft024,#Feeds_FeedPortRight024,#Feeds_FeedPortLeft025,#Feeds_FeedPortRight025,#Feeds_FeedPortLeft026,#Feeds_FeedPortRight026,#Feeds_FeedPortLeft027,#Feeds_FeedPortRight027,#Feeds_FeedPortLeft028,#Feeds_FeedPortRight028,#Feeds_FeedPortLeft029,#Feeds_FeedPortRight029,#Feeds_FeedPortLeft030,#Feeds_FeedPortRight030,#Feeds_Total,FeedVol_FeedPortLeft001,FeedVol_FeedPortRight001,FeedVol_FeedPortLeft002,FeedVol_FeedPortRight002,FeedVol_FeedPortLeft003,FeedVol_FeedPortRight003,FeedVol_FeedPortLeft004,FeedVol_FeedPortRight004,FeedVol_FeedPortLeft005,FeedVol_FeedPortRight005,FeedVol_FeedPortLeft006,FeedVol_FeedPortRight006,FeedVol_FeedPortLeft007,FeedVol_FeedPortRight007,FeedVol_FeedPortLeft008,FeedVol_FeedPortRight008,FeedVol_FeedPortLeft009,FeedVol_FeedPortRight009,FeedVol_FeedPortLeft010,FeedVol_FeedPortRight010,FeedVol_FeedPortLeft011,FeedVol_FeedPortRight011,FeedVol_FeedPortLeft012,FeedVol_FeedPortRight012,FeedVol_FeedPortLeft013,FeedVol_FeedPortRight013,FeedVol_FeedPortLeft014,FeedVol_FeedPortRight014,FeedVol_FeedPortLeft015,FeedVol_FeedPortRight015,FeedVol_FeedPortLeft016,FeedVol_FeedPortRight016,FeedVol_FeedPortLeft017,FeedVol_FeedPortRight017,FeedVol_FeedPortLeft018,FeedVol_FeedPortRight018,FeedVol_FeedPortLeft019,FeedVol_FeedPortRight019,FeedVol_FeedPortLeft020,FeedVol_FeedPortRight020,FeedVol_FeedPortLeft021,FeedVol_FeedPortRight021,FeedVol_FeedPortLeft022,FeedVol_FeedPortRight022,FeedVol_FeedPortLeft023,FeedVol_FeedPortRight023,FeedVol_FeedPortLeft024,FeedVol_FeedPortRight024,FeedVol_FeedPortLeft025,FeedVol_FeedPortRight025,FeedVol_FeedPortLeft026,FeedVol_FeedPortRight026,FeedVol_FeedPortLeft027,FeedVol_FeedPortRight027,FeedVol_FeedPortLeft028,FeedVol_FeedPortRight028,FeedVol_FeedPortLeft029,FeedVol_FeedPortRight029,FeedVol_FeedPortLeft030,FeedVol_FeedPortRight030,FeedVol_Total
1.00,0,0,3,0,0,1,0,0,0,0,2,0,0,1,0,1,3,1,0,0,0,0,1,0,0,1,0,0,0,1,0,3,1,2,2,0,1,0,0,1,1,1,2,0,2,1,1,1,1,0,0,0,0,1,1,2,2,1,0,0,42,0.0000,0.0000,0.0885,0.0000,0.0000,0.0110,0.0000,0.0000,0.0000,0.0000,0.0304,0.0000,0.0000,0.1946,0.0000,0.0728,0.0314,0.0613,0.0000,0.0000,0.0000,0.0000,0.0077,0.0000,0.0000,0.0184,0.0000,0.0000,0.0000,0.0681,0.0000,0.1003,0.0330,0.0175,0.0453,0.0000,0.0119,0.0000,0.0000,0.2103,0.1077,0.0998,0.1079,0.0000,0.1244,0.0229,0.1644,0.1232,0.0161,0.0000,0.0000,0.0000,0.0000,0.0761,0.0497,0.0352,0.1061,0.0337,0.0000,0.0000,2.0697
2.00,0,0,0,0,0,1,0,0,0,0,2,1,1,2,2,3,2,1,0,0,0,2,0,0,2,1,0,0,1,2,0,0,3,2,1,0,2,0,1,0,1,1,0,2,2,0,1,1,1,1,0,0,1,2,0,1,0,0,0,2,48,0.0000,0.0000,0.0000,0.0000,0.0000,0.0344,0.0000,0.0000,0.0000,0.0000,0.0232,0.1261,0.0210,0.1163,0.0703,0.1614,0.3016,0.0403,0.0000,0.0000,0.0000,0.0261,0.0000,0.0000,0.0275,0.0245,0.0000,0.0000,0.1988,0.0469,0.0000,0.0000,0.1814,0.0961,0.1007,0.0000,0.0819,0.0000,0.0995,0.0000,0.0331,0.0310,0.0000,0.3581,0.1560,0.0000,0.0675,0.0560,0.0241,0.0476,0.0000,0.0000,0.0123,0.2065,0.0000,0.0664,0.0000,0.0000,0.0000,0.0486,2.8850
3.00,2,0,2,0,0,1,0,0,0,0,3,3,0,0,1,0,2,1,0,1,0,0,2,2,1,2,0,1,1,0,3,2,2,1,1,1,0,0,1,2,0,1,0,1,1,1,0,1,1,2,0,2,2,1,0,0,2,0,0,2,55,0.3772,0.0000,0.0418,0.0000,0.0000,0.0468,0.0000,0.0000,0.0000,0.0000,0.1046,0.1190,0.0000,0.0000,0.0288,0.0000,0.0538,0.0735,0.0000,0.0384,0.0000,0.0000,0.0371,0.0650,0.0698,0.0314,0.0000,0.1801,0.0013,0.0000,0.0919,0.3529,0.0141,0.0057,0.1427,0.0093,0.0000,0.0000,0.0416,0.1173,0.0000,0.1160,0.0000,0.0671,0.0238,0.0366,0.0000,0.0396,0.2403,0.0237,0.0000,0.1451,0.0649,0.0399,0.0000,0.0000,0.1082,0.0000,0.0000,0.0332,2.9822
4.00,1,0,0,0,4,2,1,0,0,0,0,0,1,2,1,2,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,1,0,1,2,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,39,0.0034,0.0000,0.0000,0.0000,0.1477,0.0083,0.1660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0451,0.2481,0.0503,0.2998,0.0018,0.0013,0.0000,0.0000,0.0000,0.0925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1332,0.0133,0.0000,0.0000,0.1863,0.0000,0.0000,0.0000,0.0000,0.0129,0.0000,0.0415,0.0449,0.0063,0.0602,0.1812,0.0701,0.0629,0.0340,0.0000,0.0000,0.0020,0.0068,0.0000,0.0936,0.0000,0.0000,0.0000,0.0000,2.0135
5.00,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,1,1,0,0,2,2,3,0,0,0,1,0,3,1,29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0690,0.0000,0.0000,0.0000,0.2590,0.0309,0.0000,0.0000,0.0224,0.0000,0.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0610,0.0000,0.0000,0.0000,0.0000,0.0185,0.0000,0.0243,0.0000,0.0000,0.0000,0.1379,0.0000,0.0000,0.1184,0.0000,0.0058,0.0000,0.0000,0.0631,0.0000,0.0501,0.0024,0.0000,0.0000,0.0053,0.0302,0.0092,0.0000,0.0000,0.0000,0.0246,0.0000,0.0674,0.0224,1.0906
6.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,1,1,0,0,1,0,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0256,0.0000,0.0000,0.0000,0.2311,0.0000,0.1916,0.0072,0.0085,0.1017,0.0000,0.0000,0.1025,0.0000,0.0000,0.0000,0.6795
7.00,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,0,0,1,0,1,9,23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0116,0.5183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0620,0.0000,0.0297,0.0012,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1001,0.0000,0.1633,0.0404,0.9379
8.00,0,0,0,0,5,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,37,0.0000,0.0000,0.0000,0.0000,0.1792,0.0000,0.0057,0.0076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1932,0.0000,0.0000,0.0000,0.0299,0.1689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.2847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0134,0.0000,0.2062,0.0000,1.1304
9.00,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,4,0,0,0,1,0,0,0,0,3,0,32,0.0000,0.0000,0.0000,0.0000,0.0442,0.0000,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0425,0.0000,0.0014,0.0925,0.0000,0.0992,0.0000,0.0000,0.0000,0.0454,0.0000,0.0000,0.0000,0.0486,0.0000,0.0000,0.0000,0.0000,0.0571,0.0000,0.4681
10.01,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0160,0.0000,0.0011,0.0012,0.0000,0.0000,0.0000,0.0000,0.0138,0.0141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0736
